Qcold  Pump, Run #1
Time ( s )	Energy ( J )
39,950	78,464
40,050	78,769
40,150	79,044
40,250	79,310
40,350	79,580
40,450	79,855
40,550	80,103
40,650	80,369
40,750	80,683
40,850	80,952
40,950	81,218
41,050	81,489
41,150	81,752
41,250	82,005
41,350	82,280
41,450	82,566
41,550	82,832
41,650	83,110
41,750	83,373
41,850	83,638
41,950	83,901
42,050	84,169
42,150	84,433
42,250	84,646
42,350	84,895
42,450	85,168
42,550	85,419
42,650	85,711
42,750	85,985
42,850	86,250
42,950	86,497
43,050	86,730
43,150	87,013
43,250	87,234
43,350	87,453
43,450	87,739
43,550	88,008
43,650	88,259
43,750	88,514
43,850	88,758
43,950	88,976
44,050	89,225
44,150	89,487
44,250	89,740
44,350	89,979
44,450	90,223
44,550	90,471
44,650	90,688
44,750	90,915
44,850	91,165
44,950	91,420
45,050	91,660
45,150	91,884
45,250	92,104
45,350	92,340
45,450	92,563
45,550	92,792
45,650	93,034
45,750	93,277
45,850	93,506
45,950	93,719
46,050	93,945
46,150	94,180
46,250	94,379
46,350	94,549
46,450	94,744
46,550	94,930
46,650	95,142
46,750	95,403
46,850	95,636
46,950	95,851
47,050	96,064
47,150	96,282
47,250	96,502
47,350	96,716
47,450	96,949
47,550	97,206
47,650	97,405
47,750	97,573
47,850	97,797
47,950	98,041
48,050	98,252
48,150	98,463
48,250	98,693
48,350	98,893
48,450	99,106
48,550	99,318
48,650	99,525
48,750	99,745
48,850	99,941
48,950	100,153
49,050	100,374
49,150	100,548
49,250	100,742
49,350	100,966
49,450	101,166
49,550	101,393
49,650	101,581
49,750	101,743
49,850	101,980
49,950	102,187
50,050	102,357
50,150	102,555
50,250	102,762
50,350	102,968
50,450	103,180
50,550	103,380
50,650	103,587
50,750	103,782
50,850	103,971
50,950	104,163
51,050	104,357
51,150	104,565
51,250	104,750
51,350	104,922
51,450	105,094
51,550	105,282
51,650	105,493
51,750	105,664
51,850	105,849
51,950	106,066
52,050	106,216
52,150	106,383
52,250	106,597
52,350	106,770
52,450	106,962
52,550	107,170
52,650	107,342
52,750	107,528
52,850	107,713
52,950	107,895
53,050	108,076
53,150	108,259
53,250	108,458
53,350	108,587
53,450	108,739
53,550	108,921
53,650	109,091
53,750	109,309
53,850	109,484
53,950	109,633
54,050	109,792
54,150	109,961
54,250	110,154
54,350	110,330
54,450	110,502
54,550	110,686
54,650	110,856
54,750	111,031
54,850	111,213
54,950	111,385
55,050	111,521
55,150	111,643
55,250	111,815
55,350	112,013
55,450	112,173
55,550	112,337
55,650	112,537
55,750	112,716
55,850	112,858
55,950	113,025
56,050	113,210
56,150	113,352
56,250	113,509
56,350	113,668
56,450	113,809
56,550	113,983
56,650	114,144
56,750	114,307
56,850	114,466
56,950	114,617
57,050	114,778
57,150	114,935
57,250	115,089
57,350	115,245
57,450	115,397
57,550	115,543
57,650	115,678
57,750	115,837
57,850	116,000
57,950	116,143
58,050	116,314
58,150	116,446
58,250	116,601
58,350	116,781
58,450	116,926
58,550	117,058
58,650	117,185
58,750	117,365
58,850	117,539
58,950	117,648
59,050	117,779
59,150	117,931
59,250	118,054
59,350	118,199
59,450	118,370
59,550	118,540
59,650	118,666
59,750	118,797
59,850	118,936
59,950	119,068
60,050	119,205
60,150	119,358
60,250	119,512
60,350	119,641
60,450	119,785
60,550	119,927
60,650	120,035
60,750	120,174
60,850	120,347
60,950	120,463
61,050	120,581
61,150	120,723
61,250	120,880
61,350	121,037
61,450	121,159
61,550	121,291
61,650	121,410
61,750	121,506
61,850	121,660
61,950	121,815
62,050	121,925
62,150	122,079
62,250	122,236
62,350	122,338
62,450	122,460
62,550	122,580
62,650	122,708
62,750	122,848
62,850	122,934
62,950	123,068
63,050	123,228
63,150	123,357
63,250	123,435
63,350	123,497
63,450	123,601
63,550	123,707
63,650	123,805
63,750	123,930
63,850	124,061
63,950	124,159
64,050	124,278
64,150	124,416
64,250	124,553
64,350	124,672
64,450	124,788
64,550	124,922
64,650	125,053
64,750	125,139
64,850	125,246
64,950	125,361
65,050	125,472
65,150	125,620
65,250	125,745
65,350	125,852
65,450	125,977
65,550	126,103
65,650	126,207
65,750	126,315
65,850	126,423
65,950	126,535
66,050	126,656
66,150	126,774
66,250	126,886
66,350	126,998
66,450	127,085
66,550	127,166
66,650	127,303
66,750	127,430
66,850	127,560
66,950	127,688
67,050	127,769
67,150	127,858
67,250	127,991
67,350	128,120
67,450	128,202
67,550	128,299
67,650	128,400
67,750	128,505
67,850	128,615
67,950	128,718
68,050	128,836
68,150	128,952
68,250	129,043
68,350	129,132
68,450	129,233
68,550	129,345
68,650	129,458
68,750	129,561
68,850	129,649
68,950	129,751
69,050	129,873
69,150	129,968
69,250	130,061
69,350	130,180
69,450	130,266
69,550	130,365
69,650	130,470
69,750	130,525
69,850	130,631
69,950	130,750
70,050	130,818
70,150	130,883
70,250	130,986
70,350	131,114
70,450	131,222
70,550	131,309
70,650	131,413
70,750	131,514
70,850	131,608
70,950	131,707
71,050	131,793
71,150	131,888
71,250	131,990
71,350	132,076
71,450	132,187
71,550	132,285
71,650	132,365
71,750	132,454
71,850	132,528
71,950	132,613
72,050	132,712
72,150	132,809
72,250	132,929
72,350	133,009
72,450	133,070
72,550	133,193
72,650	133,275
72,750	133,340
72,850	133,415
72,950	133,492
73,050	133,585
73,150	133,660
73,250	133,759
73,350	133,875
73,450	133,968
73,550	134,050
73,650	134,119
73,750	134,171
73,850	134,254
73,950	134,353
74,050	134,443
74,150	134,538
74,250	134,618
74,350	134,699
74,450	134,764
74,550	134,825
74,650	134,895
74,750	134,972
74,850	135,090
74,950	135,193
75,050	135,279
75,150	135,348
75,250	135,418
75,350	135,498
75,450	135,574
75,550	135,661
75,650	135,735
75,750	135,793
75,850	135,895
75,950	136,007
76,050	136,051
76,150	136,106
76,250	136,198
76,350	136,271
76,450	136,329
76,550	136,384
76,650	136,479
76,750	136,562
76,850	136,629
76,950	136,713
77,050	136,783
77,150	136,866
77,250	136,933
77,350	137,012
77,450	137,130
77,550	137,189
77,650	137,215
77,750	137,286
77,850	137,379
77,950	137,465
78,050	137,549
78,150	137,597
78,250	137,612
78,350	137,693
78,450	137,800
78,550	137,855
78,650	137,900
78,750	137,952
78,850	138,035
78,950	138,145
79,050	138,195
79,150	138,234
79,250	138,307
79,350	138,377
79,450	138,441
79,550	138,469
79,650	138,539
79,750	138,663
79,850	138,720
79,950	138,759
80,050	138,857
80,150	138,969
80,250	139,020
80,350	139,042
80,450	139,108
80,550	139,177
80,650	139,216
80,750	139,281
80,850	139,374
80,950	139,429
81,050	139,483
81,150	139,539
81,250	139,585
81,350	139,667
81,450	139,759
81,550	139,822
81,650	139,855
81,750	139,922
81,850	139,981
81,950	140,025
82,050	140,096
82,150	140,159
82,250	140,219
82,350	140,269
82,450	140,320
82,550	140,393
82,650	140,462
82,750	140,495
82,850	140,536
82,950	140,616
83,050	140,710
83,150	140,784
83,250	140,814
83,350	140,859
83,450	140,907
83,550	140,969
83,650	141,027
83,750	141,064
83,850	141,122
83,950	141,166
84,050	141,224
84,150	141,313
84,250	141,368
84,350	141,419
84,450	141,469
84,550	141,484
84,650	141,542
84,750	141,618
84,850	141,666
84,950	141,715
85,050	141,773
85,150	141,824
85,250	141,868
85,350	141,921
85,450	141,979
85,550	142,004
85,650	142,052
85,750	142,136
85,850	142,191
85,950	142,218
86,050	142,263
86,150	142,321
86,250	142,360
86,350	142,442
86,450	142,516
86,550	142,534
86,650	142,590
86,750	142,640
86,850	142,697
86,950	142,754
87,050	142,805
87,150	142,856
87,250	142,856
87,350	142,897
87,450	142,979
87,550	143,042
87,650	143,091
87,750	143,120
87,850	143,154
87,950	143,206
88,050	143,240
88,150	143,291
88,250	143,359
88,350	143,386
88,450	143,405
88,550	143,460
88,650	143,514
88,750	143,552
88,850	143,596
88,950	143,645
89,050	143,700
89,150	143,732
89,250	143,749
89,350	143,796
89,450	143,842
89,550	143,914
89,650	143,970
89,750	143,989
89,850	144,010
89,950	144,063
90,050	144,121
90,150	144,128
90,250	144,174
90,350	144,232
90,450	144,276
90,550	144,307
90,650	144,345
90,750	144,384
90,850	144,422
90,950	144,465
91,050	144,487
91,150	144,530
91,250	144,574
91,350	144,645
91,450	144,698
91,550	144,718
91,650	144,752
91,750	144,782
91,850	144,832
91,950	144,865
92,050	144,889
92,150	144,916
92,250	144,953
92,350	145,007
92,450	145,049
92,550	145,097
92,650	145,126
92,750	145,161
92,850	145,208
92,950	145,240
93,050	145,267
93,150	145,281
93,250	145,287
93,350	145,305
93,450	145,383
93,550	145,452
93,650	145,458
93,750	145,485
93,850	145,531
93,950	145,593
94,050	145,637
94,150	145,637
94,250	145,652
94,350	145,682
94,450	145,744
94,550	145,789
94,650	145,792
94,750	145,795
94,850	145,823
94,950	145,853
95,050	145,891
95,150	145,963
95,250	145,998
95,350	145,998
95,450	146,029
95,550	146,083
95,650	146,129
95,750	146,151
95,850	146,153
95,950	146,173
96,050	146,235
96,150	146,277
96,250	146,285
96,350	146,310
96,450	146,358
96,550	146,393
96,650	146,410
96,750	146,429
96,850	146,452
96,950	146,504
97,050	146,542
97,150	146,552
97,250	146,589
97,350	146,620
97,450	146,637
97,550	146,662
97,650	146,686
97,750	146,724
97,850	146,756
97,950	146,765
98,050	146,776
98,150	146,820
98,250	146,871
98,350	146,889
98,450	146,913
98,550	146,958
98,650	146,982
98,750	147,002
98,850	147,030
98,950	147,050
99,050	147,062
99,150	147,088
99,250	147,113
99,350	147,140
99,450	147,168
99,550	147,189
99,650	147,210
99,750	147,223
99,850	147,251
99,950	147,265
100,050	147,286
100,150	147,334
100,250	147,362
100,350	147,362
100,450	147,395
100,550	147,429
100,650	147,430
100,750	147,430
100,850	147,461
100,950	147,517
101,050	147,542
101,150	147,542
101,250	147,577
101,350	147,612
101,450	147,633
101,550	147,653
101,650	147,653
101,750	147,692
101,850	147,730
101,950	147,730
102,050	147,730
102,150	147,739
102,250	147,748
102,350	147,775
102,450	147,801
102,550	147,801
102,650	147,822
102,750	147,873
102,850	147,904
102,950	147,904
103,050	147,910
103,150	147,941
103,250	147,966
103,350	147,975
103,450	147,995
103,550	148,038
103,650	148,087
103,750	148,109
103,850	148,113
103,950	148,113
104,050	148,123
104,150	148,134
104,250	148,160
104,350	148,188
104,450	148,190
104,550	148,209
104,650	148,244
104,750	148,291
104,850	148,322
104,950	148,322
105,050	148,322
105,150	148,335
105,250	148,359
105,350	148,369
105,450	148,369
105,550	148,372
105,650	148,405
105,750	148,439
