Tc Initial, Run #1
Time ( s )	Y (  )
39,950	22,469
40,050	22,469
40,150	22,469
40,250	22,469
40,350	22,469
40,450	22,469
40,550	22,469
40,650	22,469
40,750	22,469
40,850	22,469
40,950	22,469
41,050	22,469
41,150	22,469
41,250	22,469
41,350	22,469
41,450	22,469
41,550	22,469
41,650	22,469
41,750	22,469
41,850	22,469
41,950	22,469
42,050	22,469
42,150	22,469
42,250	22,469
42,350	22,469
42,450	22,469
42,550	22,469
42,650	22,469
42,750	22,469
42,850	22,469
42,950	22,469
43,050	22,469
43,150	22,469
43,250	22,469
43,350	22,469
43,450	22,469
43,550	22,469
43,650	22,469
43,750	22,469
43,850	22,469
43,950	22,469
44,050	22,469
44,150	22,469
44,250	22,469
44,350	22,469
44,450	22,469
44,550	22,469
44,650	22,469
44,750	22,469
44,850	22,469
44,950	22,469
45,050	22,469
45,150	22,469
45,250	22,469
45,350	22,469
45,450	22,469
45,550	22,469
45,650	22,469
45,750	22,469
45,850	22,469
45,950	22,469
46,050	22,469
46,150	22,469
46,250	22,469
46,350	22,469
46,450	22,469
46,550	22,469
46,650	22,469
46,750	22,469
46,850	22,469
46,950	22,469
47,050	22,469
47,150	22,469
47,250	22,469
47,350	22,469
47,450	22,469
47,550	22,469
47,650	22,469
47,750	22,469
47,850	22,469
47,950	22,469
48,050	22,469
48,150	22,469
48,250	22,469
48,350	22,469
48,450	22,469
48,550	22,469
48,650	22,469
48,750	22,469
48,850	22,469
48,950	22,469
49,050	22,469
49,150	22,469
49,250	22,469
49,350	22,469
49,450	22,469
49,550	22,469
49,650	22,469
49,750	22,469
49,850	22,469
49,950	22,469
50,050	22,469
50,150	22,469
50,250	22,469
50,350	22,469
50,450	22,469
50,550	22,469
50,650	22,469
50,750	22,469
50,850	22,469
50,950	22,469
51,050	22,469
51,150	22,469
51,250	22,469
51,350	22,469
51,450	22,469
51,550	22,469
51,650	22,469
51,750	22,469
51,850	22,469
51,950	22,469
52,050	22,469
52,150	22,469
52,250	22,469
52,350	22,469
52,450	22,469
52,550	22,469
52,650	22,469
52,750	22,469
52,850	22,469
52,950	22,469
53,050	22,469
53,150	22,469
53,250	22,469
53,350	22,469
53,450	22,469
53,550	22,469
53,650	22,469
53,750	22,469
53,850	22,469
53,950	22,469
54,050	22,469
54,150	22,469
54,250	22,469
54,350	22,469
54,450	22,469
54,550	22,469
54,650	22,469
54,750	22,469
54,850	22,469
54,950	22,469
55,050	22,469
55,150	22,469
55,250	22,469
55,350	22,469
55,450	22,469
55,550	22,469
55,650	22,469
55,750	22,469
55,850	22,469
55,950	22,469
56,050	22,469
56,150	22,469
56,250	22,469
56,350	22,469
56,450	22,469
56,550	22,469
56,650	22,469
56,750	22,469
56,850	22,469
56,950	22,469
57,050	22,469
57,150	22,469
57,250	22,469
57,350	22,469
57,450	22,469
57,550	22,469
57,650	22,469
57,750	22,469
57,850	22,469
57,950	22,469
58,050	22,469
58,150	22,469
58,250	22,469
58,350	22,469
58,450	22,469
58,550	22,469
58,650	22,469
58,750	22,469
58,850	22,469
58,950	22,469
59,050	22,469
59,150	22,469
59,250	22,469
59,350	22,469
59,450	22,469
59,550	22,469
59,650	22,469
59,750	22,469
59,850	22,469
59,950	22,469
60,050	22,469
60,150	22,469
60,250	22,469
60,350	22,469
60,450	22,469
60,550	22,469
60,650	22,469
60,750	22,469
60,850	22,469
60,950	22,469
61,050	22,469
61,150	22,469
61,250	22,469
61,350	22,469
61,450	22,469
61,550	22,469
61,650	22,469
61,750	22,469
61,850	22,469
61,950	22,469
62,050	22,469
62,150	22,469
62,250	22,469
62,350	22,469
62,450	22,469
62,550	22,469
62,650	22,469
62,750	22,469
62,850	22,469
62,950	22,469
63,050	22,469
63,150	22,469
63,250	22,469
63,350	22,469
63,450	22,469
63,550	22,469
63,650	22,469
63,750	22,469
63,850	22,469
63,950	22,469
64,050	22,469
64,150	22,469
64,250	22,469
64,350	22,469
64,450	22,469
64,550	22,469
64,650	22,469
64,750	22,469
64,850	22,469
64,950	22,469
65,050	22,469
65,150	22,469
65,250	22,469
65,350	22,469
65,450	22,469
65,550	22,469
65,650	22,469
65,750	22,469
65,850	22,469
65,950	22,469
66,050	22,469
66,150	22,469
66,250	22,469
66,350	22,469
66,450	22,469
66,550	22,469
66,650	22,469
66,750	22,469
66,850	22,469
