Power Generated, Run #1
Time ( s )	Power Generated ( W )
158,700	7,347E-3
158,800	7,319E-3
158,900	7,296E-3
159,000	7,281E-3
159,100	7,266E-3
159,200	7,251E-3
159,300	7,234E-3
159,400	7,214E-3
159,500	7,189E-3
159,600	7,159E-3
159,700	7,129E-3
159,800	7,098E-3
159,900	7,068E-3
160,000	7,038E-3
160,100	7,008E-3
160,200	6,978E-3
160,300	6,943E-3
160,400	6,906E-3
160,500	6,872E-3
160,600	6,840E-3
160,700	6,803E-3
160,800	6,765E-3
160,900	6,736E-3
161,000	6,706E-3
161,100	6,682E-3
161,200	6,657E-3
161,300	6,631E-3
161,400	6,602E-3
161,500	6,578E-3
161,600	6,554E-3
161,700	6,522E-3
161,800	6,491E-3
161,900	6,465E-3
162,000	6,441E-3
162,100	6,410E-3
162,200	6,379E-3
162,300	6,348E-3
162,400	6,317E-3
162,500	6,289E-3
162,600	6,260E-3
162,700	6,234E-3
162,800	6,206E-3
162,900	6,178E-3
163,000	6,150E-3
163,100	6,122E-3
163,200	6,096E-3
163,300	6,068E-3
163,400	6,040E-3
163,500	6,010E-3
163,600	5,987E-3
163,700	5,964E-3
163,800	5,944E-3
163,900	5,925E-3
164,000	5,898E-3
164,100	5,872E-3
164,200	5,850E-3
164,300	5,827E-3
164,400	5,804E-3
164,500	5,788E-3
164,600	5,761E-3
164,700	5,731E-3
164,800	5,716E-3
164,900	5,689E-3
165,000	5,653E-3
165,100	5,618E-3
165,200	5,582E-3
165,300	5,549E-3
165,400	5,526E-3
165,500	5,504E-3
165,600	5,471E-3
165,700	5,442E-3
165,800	5,429E-3
165,900	5,416E-3
166,000	5,405E-3
166,100	5,392E-3
166,200	5,370E-3
166,300	5,348E-3
166,400	5,330E-3
166,500	5,318E-3
166,600	5,296E-3
166,700	5,276E-3
166,800	5,246E-3
166,900	5,218E-3
167,000	5,199E-3
167,100	5,175E-3
167,200	5,154E-3
167,300	5,134E-3
167,400	5,115E-3
167,500	5,096E-3
167,600	5,087E-3
167,700	5,076E-3
167,800	5,057E-3
167,900	5,042E-3
168,000	5,025E-3
168,100	5,000E-3
168,200	4,977E-3
168,300	4,950E-3
168,400	4,920E-3
168,500	4,891E-3
168,600	4,870E-3
168,700	4,850E-3
168,800	4,831E-3
168,900	4,819E-3
169,000	4,798E-3
169,100	4,782E-3
169,200	4,767E-3
169,300	4,749E-3
169,400	4,728E-3
169,500	4,707E-3
169,600	4,685E-3
169,700	4,664E-3
169,800	4,652E-3
169,900	4,638E-3
170,000	4,622E-3
170,100	4,610E-3
170,200	4,598E-3
170,300	4,581E-3
170,400	4,559E-3
170,500	4,535E-3
170,600	4,509E-3
170,700	4,485E-3
170,800	4,463E-3
170,900	4,443E-3
171,000	4,423E-3
171,100	4,407E-3
171,200	4,397E-3
171,300	4,382E-3
171,400	4,360E-3
171,500	4,337E-3
171,600	4,311E-3
171,700	4,284E-3
171,800	4,256E-3
171,900	4,231E-3
172,000	4,208E-3
172,100	4,190E-3
172,200	4,173E-3
172,300	4,157E-3
172,400	4,148E-3
172,500	4,140E-3
172,600	4,129E-3
172,700	4,111E-3
172,800	4,087E-3
172,900	4,064E-3
173,000	4,054E-3
173,100	4,043E-3
173,200	4,028E-3
173,300	4,010E-3
173,400	3,997E-3
173,500	3,988E-3
173,600	3,978E-3
173,700	3,964E-3
173,800	3,949E-3
173,900	3,934E-3
174,000	3,911E-3
174,100	3,889E-3
174,200	3,868E-3
174,300	3,848E-3
174,400	3,835E-3
174,500	3,826E-3
174,600	3,809E-3
174,700	3,794E-3
174,800	3,787E-3
