Power, Run #1
Time ( s )	Input Power ( W )
31,800	2,004
31,900	2,004
32,000	2,001
32,100	2,001
32,200	1,999
32,300	1,999
32,400	1,997
32,500	1,995
32,600	1,993
32,700	1,996
32,800	1,992
32,900	1,993
33,000	1,993
33,100	1,993
33,200	1,991
33,300	1,989
33,400	1,989
33,500	1,986
33,600	1,989
33,700	1,984
33,800	1,985
33,900	1,983
34,000	1,980
34,100	1,981
34,200	1,981
34,300	1,980
34,400	1,978
34,500	1,976
34,600	1,976
34,700	1,971
34,800	1,974
34,900	1,972
35,000	1,972
35,100	1,973
35,200	1,972
35,300	1,970
35,400	1,967
35,500	1,968
35,600	1,968
35,700	1,966
35,800	1,964
35,900	1,964
36,000	1,963
36,100	1,961
36,200	1,961
36,300	1,959
36,400	1,962
36,500	1,957
36,600	1,955
36,700	1,955
36,800	1,954
36,900	1,952
37,000	1,955
37,100	1,953
37,200	1,953
37,300	1,951
37,400	1,951
37,500	1,949
37,600	1,947
37,700	1,947
37,800	1,946
37,900	1,944
38,000	1,944
38,100	1,942
38,200	1,945
38,300	1,938
38,400	1,941
38,500	1,939
38,600	1,939
38,700	1,935
38,800	1,938
38,900	1,933
39,000	1,936
39,100	1,934
39,200	1,934
39,300	1,932
39,400	1,930
39,500	1,930
39,600	1,929
39,700	1,931
39,800	1,927
39,900	1,927
40,000	1,928
40,100	1,926
40,200	1,923
40,300	1,923
40,400	1,921
40,500	1,922
40,600	1,921
40,700	1,921
40,800	1,921
40,900	1,919
41,000	1,917
41,100	1,917
41,200	1,915
41,300	1,915
41,400	1,916
41,500	1,911
41,600	1,913
41,700	1,914
41,800	1,912
41,900	1,908
42,000	1,911
42,100	1,906
42,200	1,909
42,300	1,907
42,400	1,905
42,500	1,905
42,600	1,905
42,700	1,906
42,800	1,904
42,900	1,904
43,000	1,902
43,100	1,898
43,200	1,898
43,300	1,898
43,400	1,899
43,500	1,896
43,600	1,897
43,700	1,897
43,800	1,895
43,900	1,893
44,000	1,893
44,100	1,892
44,200	1,892
44,300	1,890
44,400	1,890
44,500	1,888
44,600	1,888
44,700	1,888
44,800	1,886
44,900	1,886
45,000	1,887
45,100	1,885
45,200	1,882
45,300	1,881
45,400	1,883
45,500	1,879
45,600	1,882
45,700	1,883
45,800	1,880
45,900	1,875
46,000	1,878
46,100	1,876
46,200	1,876
46,300	1,879
46,400	1,877
46,500	1,874
46,600	1,872
46,700	1,875
46,800	1,873
46,900	1,869
47,000	1,869
47,100	1,867
47,200	1,867
47,300	1,868
47,400	1,868
47,500	1,868
47,600	1,868
47,700	1,866
47,800	1,864
47,900	1,864
48,000	1,862
48,100	1,862
48,200	1,861
48,300	1,861
48,400	1,859
48,500	1,859
48,600	1,860
48,700	1,860
48,800	1,855
48,900	1,855
49,000	1,856
49,100	1,856
49,200	1,856
49,300	1,851
49,400	1,852
49,500	1,854
49,600	1,851
49,700	1,850
49,800	1,851
49,900	1,849
50,000	1,852
50,100	1,847
50,200	1,847
50,300	1,845
50,400	1,847
50,500	1,848
50,600	1,846
50,700	1,846
50,800	1,843
50,900	1,844
51,000	1,841
51,100	1,840
51,200	1,842
51,300	1,838
51,400	1,840
51,500	1,839
51,600	1,839
51,700	1,839
51,800	1,837
51,900	1,837
52,000	1,835
52,100	1,835
52,200	1,835
52,300	1,833
52,400	1,833
52,500	1,833
52,600	1,831
52,700	1,831
52,800	1,829
52,900	1,829
53,000	1,828
53,100	1,828
53,200	1,829
53,300	1,826
53,400	1,829
53,500	1,827
53,600	1,827
53,700	1,825
53,800	1,822
53,900	1,825
54,000	1,823
54,100	1,823
54,200	1,823
54,300	1,821
54,400	1,821
54,500	1,819
54,600	1,817
54,700	1,817
54,800	1,820
54,900	1,817
55,000	1,816
55,100	1,818
55,200	1,816
55,300	1,814
55,400	1,814
55,500	1,812
55,600	1,815
55,700	1,813
55,800	1,813
55,900	1,811
56,000	1,813
56,100	1,811
56,200	1,811
56,300	1,809
56,400	1,806
56,500	1,807
56,600	1,807
56,700	1,807
56,800	1,805
56,900	1,805
57,000	1,805
57,100	1,804
57,200	1,804
57,300	1,804
57,400	1,804
57,500	1,802
57,600	1,802
57,700	1,803
57,800	1,800
57,900	1,798
58,000	1,798
58,100	1,798
58,200	1,799
58,300	1,794
58,400	1,799
58,500	1,797
58,600	1,797
58,700	1,795
58,800	1,795
58,900	1,795
59,000	1,795
59,100	1,793
59,200	1,793
59,300	1,792
59,400	1,792
59,500	1,792
59,600	1,792
59,700	1,790
59,800	1,788
59,900	1,790
60,000	1,788
60,100	1,790
60,200	1,789
60,300	1,786
60,400	1,789
60,500	1,784
60,600	1,784
60,700	1,784
60,800	1,785
60,900	1,785
61,000	1,785
61,100	1,783
61,200	1,783
61,300	1,783
61,400	1,781
61,500	1,781
61,600	1,781
61,700	1,781
61,800	1,781
61,900	1,778
62,000	1,778
62,100	1,778
62,200	1,778
62,300	1,776
62,400	1,778
62,500	1,776
62,600	1,776
62,700	1,774
62,800	1,774
62,900	1,772
63,000	1,775
63,100	1,772
63,200	1,772
63,300	1,772
63,400	1,773
63,500	1,770
63,600	1,771
63,700	1,768
63,800	1,771
63,900	1,769
64,000	1,769
64,100	1,769
64,200	1,769
64,300	1,769
64,400	1,767
64,500	1,767
64,600	1,765
64,700	1,765
64,800	1,765
64,900	1,764
65,000	1,764
65,100	1,764
65,200	1,764
65,300	1,762
65,400	1,762
65,500	1,762
65,600	1,760
65,700	1,760
65,800	1,760
65,900	1,761
66,000	1,758
66,100	1,761
66,200	1,761
66,300	1,761
66,400	1,759
66,500	1,754
66,600	1,757
66,700	1,759
66,800	1,757
66,900	1,757
67,000	1,755
67,100	1,755
67,200	1,755
67,300	1,755
67,400	1,753
67,500	1,753
67,600	1,751
67,700	1,751
67,800	1,751
67,900	1,749
68,000	1,749
68,100	1,749
68,200	1,752
68,300	1,748
68,400	1,750
68,500	1,748
68,600	1,750
68,700	1,746
68,800	1,748
68,900	1,746
69,000	1,744
69,100	1,744
69,200	1,742
69,300	1,746
69,400	1,742
69,500	1,744
69,600	1,746
69,700	1,745
69,800	1,743
69,900	1,740
70,000	1,743
70,100	1,741
70,200	1,738
70,300	1,741
70,400	1,739
70,500	1,736
70,600	1,739
70,700	1,742
