Tc Initial, Run #1
Time ( s )	Y (  )
39,950	23,247
40,050	23,247
40,150	23,247
40,250	23,247
40,350	23,247
40,450	23,247
40,550	23,247
40,650	23,247
40,750	23,247
40,850	23,247
40,950	23,247
41,050	23,247
41,150	23,247
41,250	23,247
41,350	23,247
41,450	23,247
41,550	23,247
41,650	23,247
41,750	23,247
41,850	23,247
41,950	23,247
42,050	23,247
42,150	23,247
42,250	23,247
42,350	23,247
42,450	23,247
42,550	23,247
42,650	23,247
42,750	23,247
42,850	23,247
42,950	23,247
43,050	23,247
43,150	23,247
43,250	23,247
43,350	23,247
43,450	23,247
43,550	23,247
43,650	23,247
43,750	23,247
43,850	23,247
43,950	23,247
44,050	23,247
44,150	23,247
44,250	23,247
44,350	23,247
44,450	23,247
44,550	23,247
44,650	23,247
44,750	23,247
44,850	23,247
44,950	23,247
45,050	23,247
45,150	23,247
45,250	23,247
45,350	23,247
45,450	23,247
45,550	23,247
45,650	23,247
45,750	23,247
45,850	23,247
45,950	23,247
46,050	23,247
46,150	23,247
46,250	23,247
46,350	23,247
46,450	23,247
46,550	23,247
46,650	23,247
46,750	23,247
46,850	23,247
46,950	23,247
47,050	23,247
47,150	23,247
47,250	23,247
47,350	23,247
47,450	23,247
47,550	23,247
47,650	23,247
47,750	23,247
47,850	23,247
47,950	23,247
48,050	23,247
48,150	23,247
48,250	23,247
48,350	23,247
48,450	23,247
48,550	23,247
48,650	23,247
48,750	23,247
48,850	23,247
48,950	23,247
49,050	23,247
49,150	23,247
49,250	23,247
49,350	23,247
49,450	23,247
49,550	23,247
49,650	23,247
49,750	23,247
49,850	23,247
49,950	23,247
50,050	23,247
50,150	23,247
50,250	23,247
50,350	23,247
50,450	23,247
50,550	23,247
50,650	23,247
50,750	23,247
50,850	23,247
50,950	23,247
51,050	23,247
51,150	23,247
51,250	23,247
51,350	23,247
51,450	23,247
51,550	23,247
51,650	23,247
51,750	23,247
51,850	23,247
51,950	23,247
52,050	23,247
52,150	23,247
52,250	23,247
52,350	23,247
52,450	23,247
52,550	23,247
52,650	23,247
52,750	23,247
52,850	23,247
52,950	23,247
53,050	23,247
53,150	23,247
53,250	23,247
53,350	23,247
53,450	23,247
53,550	23,247
53,650	23,247
53,750	23,247
53,850	23,247
53,950	23,247
54,050	23,247
54,150	23,247
54,250	23,247
54,350	23,247
54,450	23,247
54,550	23,247
54,650	23,247
54,750	23,247
54,850	23,247
54,950	23,247
55,050	23,247
55,150	23,247
55,250	23,247
55,350	23,247
55,450	23,247
55,550	23,247
55,650	23,247
55,750	23,247
55,850	23,247
55,950	23,247
56,050	23,247
56,150	23,247
56,250	23,247
56,350	23,247
56,450	23,247
56,550	23,247
56,650	23,247
56,750	23,247
56,850	23,247
56,950	23,247
57,050	23,247
57,150	23,247
57,250	23,247
57,350	23,247
57,450	23,247
57,550	23,247
57,650	23,247
57,750	23,247
57,850	23,247
57,950	23,247
58,050	23,247
58,150	23,247
58,250	23,247
58,350	23,247
58,450	23,247
58,550	23,247
58,650	23,247
58,750	23,247
58,850	23,247
58,950	23,247
59,050	23,247
59,150	23,247
59,250	23,247
59,350	23,247
59,450	23,247
59,550	23,247
59,650	23,247
59,750	23,247
59,850	23,247
59,950	23,247
60,050	23,247
60,150	23,247
60,250	23,247
60,350	23,247
60,450	23,247
60,550	23,247
60,650	23,247
60,750	23,247
60,850	23,247
60,950	23,247
61,050	23,247
61,150	23,247
61,250	23,247
61,350	23,247
61,450	23,247
61,550	23,247
61,650	23,247
61,750	23,247
61,850	23,247
61,950	23,247
62,050	23,247
62,150	23,247
62,250	23,247
62,350	23,247
62,450	23,247
62,550	23,247
62,650	23,247
62,750	23,247
62,850	23,247
62,950	23,247
63,050	23,247
63,150	23,247
63,250	23,247
63,350	23,247
63,450	23,247
63,550	23,247
63,650	23,247
63,750	23,247
63,850	23,247
63,950	23,247
64,050	23,247
64,150	23,247
64,250	23,247
64,350	23,247
64,450	23,247
64,550	23,247
64,650	23,247
64,750	23,247
64,850	23,247
64,950	23,247
65,050	23,247
65,150	23,247
65,250	23,247
65,350	23,247
65,450	23,247
65,550	23,247
65,650	23,247
65,750	23,247
65,850	23,247
65,950	23,247
66,050	23,247
66,150	23,247
66,250	23,247
66,350	23,247
66,450	23,247
66,550	23,247
66,650	23,247
66,750	23,247
66,850	23,247
66,950	23,247
67,050	23,247
67,150	23,247
67,250	23,247
67,350	23,247
67,450	23,247
67,550	23,247
67,650	23,247
67,750	23,247
67,850	23,247
67,950	23,247
68,050	23,247
68,150	23,247
68,250	23,247
68,350	23,247
68,450	23,247
68,550	23,247
68,650	23,247
68,750	23,247
68,850	23,247
68,950	23,247
69,050	23,247
69,150	23,247
69,250	23,247
69,350	23,247
69,450	23,247
69,550	23,247
69,650	23,247
69,750	23,247
69,850	23,247
69,950	23,247
70,050	23,247
70,150	23,247
70,250	23,247
70,350	23,247
70,450	23,247
70,550	23,247
70,650	23,247
70,750	23,247
70,850	23,247
70,950	23,247
71,050	23,247
71,150	23,247
71,250	23,247
71,350	23,247
71,450	23,247
71,550	23,247
71,650	23,247
71,750	23,247
71,850	23,247
71,950	23,247
72,050	23,247
72,150	23,247
72,250	23,247
72,350	23,247
72,450	23,247
72,550	23,247
72,650	23,247
72,750	23,247
72,850	23,247
72,950	23,247
73,050	23,247
73,150	23,247
73,250	23,247
73,350	23,247
