Power, Run #1
Time ( s )	Input Power ( W )
34,700	1,902
34,800	1,902
34,900	1,900
35,000	1,900
35,100	1,900
35,200	1,898
35,300	1,901
35,400	1,894
35,500	1,896
35,600	1,894
35,700	1,894
35,800	1,892
35,900	1,891
36,000	1,893
36,100	1,889
36,200	1,892
36,300	1,890
36,400	1,888
36,500	1,888
36,600	1,888
36,700	1,886
36,800	1,886
36,900	1,886
37,000	1,884
37,100	1,884
37,200	1,884
37,300	1,882
37,400	1,883
37,500	1,879
37,600	1,882
37,700	1,880
37,800	1,880
37,900	1,875
38,000	1,878
38,100	1,876
38,200	1,878
38,300	1,874
38,400	1,874
38,500	1,874
38,600	1,872
38,700	1,871
38,800	1,871
38,900	1,871
39,000	1,869
39,100	1,869
39,200	1,869
39,300	1,870
39,400	1,868
39,500	1,865
39,600	1,865
39,700	1,866
39,800	1,864
39,900	1,864
40,000	1,864
40,100	1,862
40,200	1,862
40,300	1,861
40,400	1,856
40,500	1,859
40,600	1,859
40,700	1,857
40,800	1,857
40,900	1,860
41,000	1,855
41,100	1,855
41,200	1,853
41,300	1,856
41,400	1,854
41,500	1,851
41,600	1,852
41,700	1,851
41,800	1,852
41,900	1,852
42,000	1,848
42,100	1,849
42,200	1,849
42,300	1,847
42,400	1,847
42,500	1,847
42,600	1,842
42,700	1,845
42,800	1,845
42,900	1,843
43,000	1,844
43,100	1,841
43,200	1,844
43,300	1,842
43,400	1,840
43,500	1,838
43,600	1,840
43,700	1,840
43,800	1,838
43,900	1,836
44,000	1,836
44,100	1,837
44,200	1,837
44,300	1,835
44,400	1,835
44,500	1,833
44,600	1,833
44,700	1,831
44,800	1,831
44,900	1,831
45,000	1,829
45,100	1,829
45,200	1,828
45,300	1,828
45,400	1,828
45,500	1,828
45,600	1,826
45,700	1,826
45,800	1,824
45,900	1,824
46,000	1,822
46,100	1,822
46,200	1,822
46,300	1,823
46,400	1,823
46,500	1,818
46,600	1,821
46,700	1,818
46,800	1,818
46,900	1,817
47,000	1,819
47,100	1,817
47,200	1,817
47,300	1,816
47,400	1,816
47,500	1,816
47,600	1,818
47,700	1,814
47,800	1,812
47,900	1,812
48,000	1,815
48,100	1,812
48,200	1,813
48,300	1,813
48,400	1,810
48,500	1,811
48,600	1,811
48,700	1,806
48,800	1,809
48,900	1,809
49,000	1,807
49,100	1,805
49,200	1,807
49,300	1,805
49,400	1,804
49,500	1,803
49,600	1,804
49,700	1,804
49,800	1,802
49,900	1,802
50,000	1,803
50,100	1,797
50,200	1,800
50,300	1,800
50,400	1,798
50,500	1,798
50,600	1,796
50,700	1,796
50,800	1,796
50,900	1,797
51,000	1,797
51,100	1,797
51,200	1,793
51,300	1,793
51,400	1,795
51,500	1,795
51,600	1,793
51,700	1,792
51,800	1,792
51,900	1,787
52,000	1,792
52,100	1,790
52,200	1,790
52,300	1,790
52,400	1,788
52,500	1,788
52,600	1,788
52,700	1,786
52,800	1,786
52,900	1,786
53,000	1,784
53,100	1,787
53,200	1,784
53,300	1,782
53,400	1,782
53,500	1,785
53,600	1,783
53,700	1,781
53,800	1,780
53,900	1,781
54,000	1,781
54,100	1,781
54,200	1,781
54,300	1,779
54,400	1,778
54,500	1,779
54,600	1,778
54,700	1,778
54,800	1,776
54,900	1,776
55,000	1,776
55,100	1,774
55,200	1,774
55,300	1,774
55,400	1,774
55,500	1,774
55,600	1,772
55,700	1,772
55,800	1,772
55,900	1,770
56,000	1,768
56,100	1,768
56,200	1,768
56,300	1,771
56,400	1,766
56,500	1,769
56,600	1,766
56,700	1,769
56,800	1,769
56,900	1,767
57,000	1,767
57,100	1,765
57,200	1,763
57,300	1,763
57,400	1,763
57,500	1,764
57,600	1,765
57,700	1,762
57,800	1,762
57,900	1,764
58,000	1,762
58,100	1,762
58,200	1,760
58,300	1,757
58,400	1,760
58,500	1,758
58,600	1,758
58,700	1,758
58,800	1,758
58,900	1,759
59,000	1,756
59,100	1,756
59,200	1,756
59,300	1,754
59,400	1,754
59,500	1,754
59,600	1,754
59,700	1,752
59,800	1,755
59,900	1,751
60,000	1,753
60,100	1,753
60,200	1,751
60,300	1,751
60,400	1,751
60,500	1,749
60,600	1,749
60,700	1,749
60,800	1,749
60,900	1,749
61,000	1,748
61,100	1,748
61,200	1,748
61,300	1,748
61,400	1,748
61,500	1,746
61,600	1,746
61,700	1,746
61,800	1,744
61,900	1,744
62,000	1,746
62,100	1,744
62,200	1,742
62,300	1,744
62,400	1,742
62,500	1,740
62,600	1,740
62,700	1,740
62,800	1,740
62,900	1,740
63,000	1,741
63,100	1,738
63,200	1,738
63,300	1,741
63,400	1,741
63,500	1,736
63,600	1,739
63,700	1,736
63,800	1,739
63,900	1,737
64,000	1,737
64,100	1,735
64,200	1,735
64,300	1,735
64,400	1,735
64,500	1,735
64,600	1,733
64,700	1,733
64,800	1,733
64,900	1,733
65,000	1,732
65,100	1,732
65,200	1,732
65,300	1,732
65,400	1,730
65,500	1,732
65,600	1,730
65,700	1,728
65,800	1,730
65,900	1,728
66,000	1,728
66,100	1,730
66,200	1,726
66,300	1,728
66,400	1,726
66,500	1,726
66,600	1,726
66,700	1,724
66,800	1,724
66,900	1,724
67,000	1,727
67,100	1,722
67,200	1,725
67,300	1,725
67,400	1,722
67,500	1,720
67,600	1,723
67,700	1,723
67,800	1,723
67,900	1,720
68,000	1,723
68,100	1,721
68,200	1,719
68,300	1,719
68,400	1,719
68,500	1,719
68,600	1,719
68,700	1,719
68,800	1,719
68,900	1,717
69,000	1,717
69,100	1,717
69,200	1,716
69,300	1,716
69,400	1,716
69,500	1,716
69,600	1,716
69,700	1,716
69,800	1,716
69,900	1,714
70,000	1,714
70,100	1,714
70,200	1,714
70,300	1,712
70,400	1,712
70,500	1,713
70,600	1,712
70,700	1,713
70,800	1,710
70,900	1,713
71,000	1,710
71,100	1,708
71,200	1,711
71,300	1,711
71,400	1,711
71,500	1,711
71,600	1,711
71,700	1,709
71,800	1,709
71,900	1,706
72,000	1,706
72,100	1,707
72,200	1,707
72,300	1,707
72,400	1,707
72,500	1,707
72,600	1,707
72,700	1,705
72,800	1,705
72,900	1,705
73,000	1,705
73,100	1,703
73,200	1,703
73,300	1,703
73,400	1,703
73,500	1,703
73,600	1,701
73,700	1,701
73,800	1,701
73,900	1,704
74,000	1,699
74,100	1,699
74,200	1,699
