Qcold  Pump, Run #1
Time ( s )	Energy ( J )
39,950	95,369
40,050	95,616
40,150	95,854
40,250	96,105
40,350	96,370
40,450	96,621
40,550	96,874
40,650	97,114
40,750	97,359
40,850	97,620
40,950	97,848
41,050	98,108
41,150	98,386
41,250	98,623
41,350	98,855
41,450	99,116
41,550	99,361
41,650	99,583
41,750	99,787
41,850	100,020
41,950	100,284
42,050	100,537
42,150	100,768
42,250	101,003
42,350	101,243
42,450	101,479
42,550	101,720
42,650	101,956
42,750	102,191
42,850	102,413
42,950	102,653
43,050	102,882
43,150	103,103
43,250	103,342
43,350	103,547
43,450	103,797
43,550	104,057
43,650	104,259
43,750	104,476
43,850	104,710
43,950	104,939
44,050	105,155
44,150	105,367
44,250	105,601
44,350	105,828
44,450	106,062
44,550	106,270
44,650	106,476
44,750	106,703
44,850	106,911
44,950	107,150
45,050	107,376
45,150	107,607
45,250	107,827
45,350	107,997
45,450	108,220
45,550	108,460
45,650	108,667
45,750	108,883
45,850	109,114
45,950	109,318
46,050	109,518
46,150	109,731
46,250	109,952
46,350	110,165
46,450	110,363
46,550	110,545
46,650	110,722
46,750	110,958
46,850	111,156
46,950	111,348
47,050	111,570
47,150	111,788
47,250	112,000
47,350	112,162
47,450	112,352
47,550	112,577
47,650	112,785
47,750	112,971
47,850	113,162
47,950	113,389
48,050	113,583
48,150	113,741
48,250	113,925
48,350	114,141
48,450	114,314
48,550	114,457
48,650	114,597
48,750	114,778
48,850	114,971
48,950	115,146
49,050	115,354
49,150	115,551
49,250	115,733
49,350	115,911
49,450	116,093
49,550	116,309
49,650	116,500
49,750	116,656
49,850	116,846
49,950	117,049
50,050	117,215
50,150	117,384
50,250	117,592
50,350	117,772
50,450	117,956
50,550	118,145
50,650	118,316
50,750	118,489
50,850	118,668
50,950	118,853
51,050	119,033
51,150	119,188
51,250	119,371
51,350	119,559
51,450	119,721
51,550	119,896
51,650	120,064
51,750	120,269
51,850	120,434
51,950	120,597
52,050	120,813
52,150	120,979
52,250	121,127
52,350	121,264
52,450	121,436
52,550	121,614
52,650	121,768
52,750	121,939
52,850	122,120
52,950	122,301
53,050	122,467
53,150	122,630
53,250	122,782
53,350	122,925
53,450	123,095
53,550	123,282
53,650	123,430
53,750	123,594
53,850	123,795
53,950	123,966
54,050	124,104
54,150	124,248
54,250	124,412
54,350	124,563
54,450	124,701
54,550	124,872
54,650	125,053
54,750	125,207
54,850	125,347
54,950	125,494
55,050	125,680
55,150	125,863
55,250	126,011
55,350	126,151
55,450	126,305
55,550	126,455
55,650	126,592
55,750	126,739
55,850	126,891
55,950	127,045
56,050	127,173
56,150	127,322
56,250	127,486
56,350	127,623
56,450	127,783
56,550	127,939
56,650	128,075
56,750	128,224
56,850	128,373
56,950	128,488
57,050	128,622
57,150	128,781
57,250	128,940
57,350	129,067
57,450	129,187
57,550	129,327
57,650	129,481
57,750	129,631
57,850	129,767
57,950	129,923
58,050	130,037
58,150	130,208
58,250	130,357
58,350	130,452
58,450	130,600
58,550	130,742
58,650	130,893
58,750	131,020
58,850	131,144
58,950	131,270
59,050	131,389
59,150	131,535
59,250	131,676
59,350	131,788
59,450	131,917
59,550	132,097
59,650	132,212
59,750	132,323
59,850	132,484
59,950	132,603
60,050	132,726
60,150	132,860
60,250	132,950
60,350	133,087
60,450	133,248
60,550	133,364
60,650	133,503
60,750	133,617
60,850	133,738
60,950	133,864
61,050	133,988
61,150	134,111
61,250	134,244
61,350	134,388
61,450	134,510
61,550	134,625
61,650	134,741
61,750	134,876
61,850	134,992
61,950	135,102
62,050	135,209
62,150	135,325
62,250	135,452
62,350	135,562
62,450	135,693
62,550	135,797
62,650	135,907
62,750	136,069
62,850	136,198
62,950	136,299
63,050	136,405
63,150	136,501
63,250	136,626
63,350	136,747
63,450	136,860
63,550	137,000
63,650	137,103
63,750	137,201
63,850	137,331
63,950	137,448
64,050	137,545
64,150	137,642
64,250	137,758
64,350	137,888
64,450	138,004
64,550	138,072
64,650	138,161
64,750	138,308
64,850	138,423
64,950	138,516
65,050	138,612
65,150	138,719
65,250	138,815
65,350	138,924
65,450	139,012
65,550	139,112
65,650	139,243
65,750	139,348
65,850	139,463
65,950	139,566
66,050	139,662
66,150	139,760
66,250	139,878
66,350	139,971
66,450	140,048
66,550	140,138
66,650	140,253
66,750	140,385
66,850	140,489
66,950	140,561
67,050	140,630
67,150	140,751
67,250	140,850
67,350	140,931
67,450	141,052
67,550	141,155
67,650	141,266
67,750	141,375
67,850	141,445
67,950	141,540
68,050	141,647
68,150	141,740
68,250	141,811
68,350	141,904
68,450	142,000
68,550	142,087
68,650	142,209
68,750	142,313
68,850	142,394
68,950	142,466
69,050	142,561
69,150	142,667
69,250	142,748
69,350	142,818
69,450	142,891
69,550	143,004
69,650	143,118
69,750	143,189
69,850	143,270
69,950	143,361
70,050	143,460
70,150	143,550
70,250	143,614
70,350	143,695
70,450	143,788
70,550	143,866
70,650	143,972
70,750	144,057
70,850	144,109
70,950	144,165
71,050	144,223
71,150	144,257
71,250	144,297
71,350	144,383
71,450	144,431
71,550	144,479
71,650	144,568
71,750	144,657
71,850	144,728
71,950	144,818
72,050	144,928
72,150	145,014
72,250	145,064
72,350	145,119
72,450	145,206
72,550	145,319
72,650	145,397
72,750	145,448
72,850	145,534
72,950	145,603
73,050	145,672
73,150	145,753
73,250	145,824
73,350	145,894
73,450	145,989
73,550	146,074
73,650	146,119
73,750	146,198
73,850	146,289
73,950	146,354
74,050	146,426
74,150	146,484
74,250	146,584
74,350	146,673
74,450	146,730
74,550	146,788
74,650	146,842
74,750	146,930
74,850	147,029
74,950	147,083
75,050	147,117
75,150	147,219
75,250	147,287
75,350	147,320
75,450	147,419
75,550	147,516
75,650	147,556
75,750	147,617
75,850	147,715
75,950	147,770
76,050	147,825
76,150	147,890
76,250	147,926
76,350	147,982
76,450	148,072
76,550	148,147
76,650	148,179
76,750	148,259
76,850	148,361
76,950	148,408
77,050	148,460
77,150	148,549
77,250	148,630
77,350	148,667
77,450	148,718
77,550	148,788
77,650	148,837
77,750	148,911
77,850	148,987
77,950	149,029
78,050	149,097
78,150	149,149
78,250	149,212
78,350	149,313
78,450	149,356
78,550	149,420
78,650	149,490
78,750	149,526
78,850	149,576
78,950	149,633
79,050	149,685
79,150	149,738
79,250	149,781
79,350	149,840
79,450	149,916
79,550	149,995
79,650	150,050
79,750	150,081
79,850	150,150
79,950	150,203
80,050	150,239
80,150	150,319
80,250	150,389
80,350	150,439
80,450	150,489
80,550	150,517
80,650	150,587
80,750	150,653
80,850	150,695
80,950	150,746
81,050	150,810
81,150	150,851
81,250	150,892
81,350	150,967
81,450	151,029
81,550	151,079
81,650	151,107
81,750	151,163
81,850	151,222
81,950	151,248
82,050	151,294
82,150	151,341
82,250	151,397
82,350	151,492
82,450	151,556
82,550	151,561
82,650	151,565
82,750	151,628
82,850	151,698
82,950	151,731
83,050	151,774
83,150	151,799
83,250	151,823
83,350	151,881
83,450	151,929
83,550	151,977
83,650	152,062
83,750	152,117
83,850	152,144
83,950	152,207
84,050	152,270
84,150	152,295
84,250	152,332
84,350	152,389
84,450	152,428
84,550	152,447
84,650	152,475
84,750	152,540
84,850	152,581
84,950	152,611
85,050	152,671
85,150	152,714
85,250	152,771
85,350	152,823
85,450	152,858
85,550	152,904
85,650	152,925
85,750	152,974
85,850	153,023
85,950	153,023
86,050	153,053
86,150	153,083
86,250	153,160
86,350	153,236
86,450	153,261
86,550	153,295
86,650	153,306
86,750	153,346
86,850	153,400
86,950	153,439
87,050	153,480
87,150	153,506
87,250	153,536
87,350	153,614
87,450	153,669
87,550	153,672
87,650	153,679
87,750	153,684
87,850	153,714
87,950	153,784
88,050	153,830
88,150	153,872
88,250	153,908
88,350	153,924
88,450	153,977
88,550	154,019
88,650	154,064
88,750	154,104
88,850	154,106
88,950	154,116
89,050	154,152
89,150	154,202
89,250	154,228
89,350	154,271
89,450	154,314
89,550	154,328
89,650	154,346
89,750	154,390
89,850	154,442
89,950	154,466
90,050	154,476
90,150	154,482
90,250	154,527
90,350	154,566
90,450	154,614
90,550	154,661
90,650	154,677
90,750	154,692
90,850	154,698
90,950	154,713
91,050	154,737
91,150	154,780
91,250	154,813
91,350	154,834
91,450	154,891
91,550	154,931
91,650	154,943
91,750	154,960
91,850	154,971
91,950	155,019
92,050	155,066
92,150	155,079
92,250	155,091
92,350	155,108
92,450	155,121
92,550	155,127
92,650	155,151
92,750	155,214
92,850	155,257
92,950	155,283
93,050	155,316
93,150	155,323
93,250	155,323
93,350	155,352
93,450	155,381
93,550	155,381
93,650	155,406
93,750	155,431
93,850	155,461
93,950	155,509
94,050	155,527
94,150	155,536
94,250	155,545
94,350	155,547
94,450	155,559
94,550	155,594
94,650	155,635
94,750	155,653
94,850	155,667
